NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte
900175830,combustibles líquidos de colombia s.a. e.s.p.,superservicios,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","4,661",comercio,0.08,0.0,0.08,0.02,0.06,2023
890941103,equielect sas,supersociedades,antioquia,antioquia,medellin-antioquia,"4,663",comercio,0.08,0.0,0.03,0.02,0.01,2023
901135692,desarrollos y manufacturas sas,supersociedades,antioquia,antioquia,envigado-antioquia,722,minero,0.08,-0.0,0.07,0.04,0.03,2023
860518356,la gaitana farms  sas,supersociedades,bogotá - cundinamarca,cundinamarca,cota-cundinamarca-cundinamarca,125,agropecuario,0.08,0.0,0.03,0.02,0.01,2023
890925185,paraconstruir sas,supersociedades,antioquia,antioquia,medellin-antioquia,"4,663",comercio,0.08,0.0,0.02,0.01,0.01,2023
900375309,c2 soluciones sas,supersociedades,eje cafetero,risaralda,pereira-risaralda,"4,669",comercio,0.08,0.0,0.05,0.03,0.01,2023
800175087,gómez-pinzón abogados s.a.s,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","6,910",servicios,0.08,0.01,0.05,0.03,0.01,2023
900089324,agricola mayorca s.a.s.,supersociedades,antioquia,antioquia,medellin-antioquia,122,agropecuario,0.08,0.01,0.07,0.04,0.02,2023
900233622,delta company sas,supersociedades,costa atlántica,atlantico,barranquilla-atlantico,"4,711",comercio,0.08,0.0,0.01,0.01,0.0,2023
800176890,clinica medico quirurgica s.a,supersalud,centro - oriente,norte de santander,cucuta-norte de santander,"8,610",servicios,0.08,0.0,0.06,0.06,0.0,2023
800168083,cooperativa antioqueña de salud coopsana,supersalud,antioquia,antioquia,medellin-antioquia,"8,621",servicios,0.08,0.0,0.02,0.02,0.0,2023
800249678,jungheinrich colombia sas,supersociedades,bogotá - cundinamarca,cundinamarca,mosquera-cundinamarca-cundinamarca,"4,659",comercio,0.08,0.0,0.1,0.09,0.01,2023
900228989,clinica santa sofia del pacifico sas,supersalud,costa pacífica,valle,cali-valle,"8,610",servicios,0.08,0.01,0.1,0.05,0.06,2023
800112725,fundacion oftalmologica del caribe,supersalud,costa atlántica,atlantico,barranquilla-atlantico,"8,621",servicios,0.08,0.01,0.05,0.02,0.03,2023
890102603,grupo mi corral s a,supersociedades,costa atlántica,atlantico,barranquilla-atlantico,"4,620",comercio,0.08,0.0,0.04,0.03,0.01,2023
860001911,kaika sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","4,659",comercio,0.08,0.01,0.04,0.03,0.02,2023
900361775,global latices sas,supersociedades,eje cafetero,quindio,la-tebaida-quindio-quindio,"2,029",manufactura,0.08,-0.0,0.06,0.06,0.01,2023
